OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"88865","2","1","Stephen Burgess","Formix",BER,"3532.033","0","39490.531","0","0",Bot,"Bot9117","1280","Gold 3","1280","Gold 3","","","",""
"88865","2","2","Adam Stuart","",SCO,"3578.803","46.77","39490.531","0","0",Bot,"Bot4980","1256","Gold 3","1256","Gold 3","","","",""
"88865","2","3","Damien Fournier","Fujikai",FRA,"3629.987","97.953","39490.531","0","0",Bot,"Bot513","1119","Gold 2","1119","Gold 2","","","",""
"88865","2","4","Enchen Vong","Monova",CHN,"3658.795","126.761","39490.531","0","0",Bot,"Bot3619","1113","Gold 2","1113","Gold 2","","","",""
"88865","2","5","Jean Francois","",FRA,"3658.853","126.819","39490.531","0","0",Bot,"Bot753","1013","Gold 1","1013","Gold 1","","","",""
"88865","2","6","Lucca Cardoso","Patriot",BRA,"3660.589","128.555","39490.531","0","0",Bot,"Bot9108","1112","Gold 2","1112","Gold 2","","","",""
"88865","2","7","Roy Jackson","",ISV,"3675.833","143.8","39490.531","0","0",Bot,"Bot4479","1121","Gold 2","1121","Gold 2","","","",""
"88865","2","8","Katerina Dodig","Formix",CZE,"3676.953","144.92","39490.531","0","0",Bot,"Bot117","1031","Gold 1","1031","Gold 1","","","",""
"88865","2","9","James Eastwood","Chaos",GBR,"3689.708","157.674","39490.531","0","0",Male,"212354980F57BA1B","1196","Gold 2","1196","Gold 2","40-44","British Cycling","1652049","10116817585"
"88865","2","10","Benjamin Rosenberg","",ISR,"3690.911","158.878","39490.531","0","0",Bot,"Bot2861","1047","Gold 1","1047","Gold 1","","","",""
"88865","2","11","Odell Hartman","Fable",ENG,"3697.744","165.711","39490.531","0","0",Bot,"Bot7910","1001","Gold 1","1001","Gold 1","","","",""
"88865","2","12","Eliel Niskanen","Optech",FIN,"3709.232","177.198","39490.531","0","0",Bot,"Bot7818","1087","Gold 1","1087","Gold 1","","","",""
"88865","2","13","Bradley Xiong","",NZL,"3710.408","178.375","39490.531","0","0",Bot,"Bot1265","1065","Gold 1","1065","Gold 1","","","",""
"88865","2","14","Alonzo Fontana","Windsail",ITA,"3716.934","184.9","39490.531","0","0",Bot,"Bot5323","1005","Gold 1","1005","Gold 1","","","",""
"88865","2","15","Juan Miguel","Zonkify",ESP,"3720.78","188.746","39490.531","0","0",Bot,"Bot4709","1022","Gold 1","1022","Gold 1","","","",""
"88865","2","16","Ethan Flynn","Hinal",IRL,"3743.796","211.762","39490.531","0","0",Bot,"Bot4731","1236","Gold 3","1236","Gold 3","","","",""
"88865","2","17","Ki Ham","",KOR,"3782.426","250.392","39490.531","0","0",Bot,"Bot1881","1000","Gold 1","1000","Gold 1","","","",""
"88865","2","18","Omar Sahraoui","",ALG,"3791.864","259.83","39490.531","0","0",Bot,"Bot8549","1026","Gold 1","1026","Gold 1","","","",""
"88865","2","19","Antonio Martins","Nuvio",AND,"3798.704","266.67","39490.531","0","0",Bot,"Bot6706","1141","Gold 2","1141","Gold 2","","","",""
"88865","2","20","Danylo Semenyuk","Delta",UKR,"3802.453","270.419","39490.531","0","0",Bot,"Bot1521","1004","Gold 1","1004","Gold 1","","","",""
"88865","2","21","Anaïs Michel","Base",FRA,"3806.266","274.233","39490.531","0","0",Bot,"Bot6325","1118","Gold 2","1118","Gold 2","","","",""
"88865","2","22","Paul Zimmermann","Ampex",GER,"3810.993","278.959","39490.531","0","0",Bot,"Bot9214","1091","Gold 1","1091","Gold 1","","","",""
"88865","2","23","Hannu Lehtinen","",FIN,"3815.219","283.185","39490.531","0","0",Bot,"Bot7785","1128","Gold 2","1128","Gold 2","","","",""
"88865","2","24","Miriam Locatelli","Eckleson",ITA,"3815.653","283.62","39490.531","0","0",Bot,"Bot8227","1034","Gold 1","1034","Gold 1","","","",""
"88865","2","25","Archie Macleod","Windsail",SCO,"3819.206","287.172","39490.531","0","0",Bot,"Bot3323","1060","Gold 1","1060","Gold 1","","","",""
"88865","2","26","Raymond Benoit","",FRA,"3961.105","429.072","39490.531","0","0",Bot,"Bot3855","1127","Gold 2","1127","Gold 2","","","",""
"88865","2",DNF,"Peter Austin","TROuble",GBR,"597","0","6655.168","0","0",Male,"94BF2EA3E5A7CBC2","1238","Gold 3","1238","Gold 3","55-59","","",""
"88865","2",DNF,"Lars Huber","Formix",AUT,"3725.687","0","36049.964","0","0",Bot,"Bot4017","1053","Gold 1","1053","Gold 1","","","",""
"88865","2",DNF,"Latifah Che","Douvan",MAS,"3785.625","0","36556.282","0","0",Bot,"Bot8637","1103","Gold 2","1103","Gold 2","","","",""
