OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93473","1","1","Jaap Van Dijk","Kumori",NED,"1200","0","14908.342","0","0",Bot,"Bot1440","1268","Gold 3","1278","Gold 3","","","",""
"93473","1","2","Dieter Mayer","",AUT,"1200","0","14904.602","-3.74","0",Bot,"Bot6955","1256","Gold 3","1262","Gold 3","","","",""
"93473","1","3","Dagbjart Jónsson","Kumori",ISL,"1200","0","14776.153","-132.189","0",Bot,"Bot6940","1262","Gold 3","1267","Gold 3","","","",""
"93473","1","4","Alexander Alvarez","Roklit",ARG,"1200","0","14677.038","-231.304","0",Bot,"Bot812","1084","Gold 1","1106","Gold 2","","","",""
"93473","1","5","Mirko Kovačević","Roklit",BIH,"1200","0","14621.516","-286.826","0",Bot,"Bot5112","1249","Gold 3","1241","Gold 3","","","",""
"93473","1","6","Tapio Salminen","Meisterkuhl",FIN,"1200","0","14560.577","-347.765","0",Bot,"Bot322","1185","Gold 2","1178","Gold 2","","","",""
"93473","1","7","Bojidar Yankov","",BUL,"1200","0","14515.156","-393.186","0",Bot,"Bot4643","1185","Gold 2","1157","Gold 2","","","",""
"93473","1","8","Steven Navarro","Formix",ENG,"1200","0","14485.523","-422.819","0",Bot,"Bot8317","1186","Gold 2","1170","Gold 2","","","",""
"93473","1","9","Hans Wolf","",SUI,"1200","0","14420.714","-487.627","0",Bot,"Bot4747","1085","Gold 1","1099","Gold 1","","","",""
"93473","1","10","Eemil Saarinen","Saitama",FIN,"1200","0","14380.148","-528.194","0",Bot,"Bot2634","1103","Gold 2","1111","Gold 2","","","",""
"93473","1","11","Kian König","",GER,"1200","0","14364.172","-544.169","0",Bot,"Bot2543","1315","Platinum 1","1261","Gold 3","","","",""
"93473","1","12","Viraj Choudhary","",IND,"1200","0","14347.598","-560.744","0",Bot,"Bot1372","1047","Gold 1","1059","Gold 1","","","",""
"93473","1","13","Eduardo Bernardo","Nitro",POR,"1200","0","14340.43","-567.912","0",Bot,"Bot5937","1154","Gold 2","1153","Gold 2","","","",""
"93473","1","14","Hyeon Sang","Saitama",KOR,"1200","0","14323.597","-584.745","0",Bot,"Bot8134","1123","Gold 2","1113","Gold 2","","","",""
"93473","1","15","Kelly Wolf","",RSA,"1200","0","14320.932","-587.41","0",Bot,"Bot7163","1126","Gold 2","1116","Gold 2","","","",""
"93473","1","16","Wendell Hall","Krowen",NZL,"1200","0","14294.438","-613.904","0",Bot,"Bot2802","1128","Gold 2","1115","Gold 2","","","",""
"93473","1","17","Jacob Robinson","Roklit",FLK,"1200","0","14241.625","-666.717","0",Bot,"Bot6812","1103","Gold 2","1095","Gold 1","","","",""
"93473","1","18","Shirley Gill","",USA,"1200","0","14211.574","-696.768","0",Bot,"Bot6087","1094","Gold 1","1105","Gold 2","","","",""
"93473","1","19","Palle Poulsen","Krowen",DEN,"1200","0","14194.53","-713.812","0",Bot,"Bot902","1058","Gold 1","1058","Gold 1","","","",""
"93473","1","20","Xianquan Chau","",CHN,"1200","0","14186.995","-721.347","0",Bot,"Bot9784","1025","Gold 1","1046","Gold 1","","","",""
"93473","1","21","Hamish Campbell","",SCO,"1200","0","14103.164","-805.178","0",Bot,"Bot6349","1028","Gold 1","1029","Gold 1","","","",""
"93473","1","22","Eliel Niskanen","Optech",FIN,"1200","0","14087.765","-820.577","0",Bot,"Bot7818","1077","Gold 1","1069","Gold 1","","","",""
"93473","1","23","Lars Ødegård","",NOR,"1200","0","14071.579","-836.763","0",Bot,"Bot5277","1023","Gold 1","1026","Gold 1","","","",""
"93473","1","24","Akira Miura","AMO Solutions",JPN,"1200","0","14052.065","-856.277","0",Bot,"Bot4739","1015","Gold 1","1028","Gold 1","","","",""
"93473","1","25","Noble Campos","",GBR,"1200","0","14046.171","-862.17","0",Bot,"Bot7562","1053","Gold 1","1045","Gold 1","","","",""
"93473","1","26","Lennart Jansson","",SWE,"1200","0","14030.709","-877.632","0",Bot,"Bot4088","1056","Gold 1","1039","Gold 1","","","",""
"93473","1","27","Blaine Cain","",USA,"1200","0","14008.624","-899.718","0",Bot,"Bot4941","1021","Gold 1","1025","Gold 1","","","",""
"93473","1","28","Juan Carlos Rosendo","Capital",VEN,"1200","0","13913.834","-994.507","0",Bot,"Bot8524","1052","Gold 1","1040","Gold 1","","","",""
"93473","1","29","Todd Hayden","",AUS,"1200","0","13850.31","-1058.032","0",Bot,"Bot8159","1009","Gold 1","1013","Gold 1","","","",""
"93473","1","30","Giacomo Moretti","",ITA,"1200","0","13765.416","-1142.926","0",Bot,"Bot3364","1152","Gold 2","1113","Gold 2","","","",""
"93473","1","31","James Eastwood","Chaos",GBR,"1200","0","13649.93","-1258.412","0",Male,"212354980F57BA1B","1205","Gold 3","1273","Gold 3","40-44","British Cycling","1652049","10116817585"
"93473","1","32","Carsten Sauer","",SUI,"1200","0","13584.246","-1324.096","0",Bot,"Bot4082","1074","Gold 1","1055","Gold 1","","","",""
"93473","1","33","Maksim Polyarush","",SVK,"1200","0","13474.444","-1433.898","0",Bot,"Bot8548","1032","Gold 1","1017","Gold 1","","","",""
"93473","1","34","Michael Hodge","",ISV,"1200","0","13346.604","-1561.738","0",Bot,"Bot2152","1062","Gold 1","1040","Gold 1","","","",""
"93473","1","35","Bjarki Bjarnadóttir","",ISL,"1200","0","13324.839","-1583.502","0",Bot,"Bot1365","1127","Gold 2","1090","Gold 1","","","",""
"93473","1","36","Kaamilah Zakaria","",MAS,"1200","0","13292.775","-1615.567","0",Bot,"Bot1447","1027","Gold 1","1007","Gold 1","","","",""
"93473","1","37","Luke Mizzi","",MLT,"1200","0","13289.656","-1618.686","0",Bot,"Bot4851","1057","Gold 1","1035","Gold 1","","","",""
"93473","1","38","Susanne Krog","",DEN,"1200","0","13271.375","-1636.967","0",Bot,"Bot6572","1055","Gold 1","1033","Gold 1","","","",""
"93473","1","39","Luboslaw Šunjić","",CRO,"1200","0","13253.348","-1654.994","0",Bot,"Bot8679","1026","Gold 1","1006","Gold 1","","","",""
"93473","1","40","Monroe Farmer","",USA,"1200","0","13144.132","-1764.209","0",Bot,"Bot5181","1229","Gold 3","1182","Gold 2","","","",""
