OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"93050","1","1","Jochen Hübner","",SUI,"2299.214","0","25934.3","0","0",Bot,"Bot4146","1352","Platinum 1","1354","Platinum 1","","","",""
"93050","1","2","Niraj Tamang","",NEP,"2301.223","2.009","25934.3","0","0",Bot,"Bot459","1253","Gold 3","1307","Platinum 1","","","",""
"93050","1","3","Ryan Yates","Allkin Racing",USA,"2302.959","3.745","25934.3","0","0",Male,"2FDBB5DD4345DCB5","1265","Gold 3","1290","Gold 3","40-44","","",""
"93050","1","4","Mahdi Ghasemi","Orbit",IRI,"2304.487","5.273","25934.3","0","0",Bot,"Bot5603","1287","Gold 3","1310","Platinum 1","","","",""
"93050","1","5","Linus Keller","",GER,"2304.702","5.488","25934.3","0","0",Bot,"Bot4984","1313","Platinum 1","1354","Platinum 1","","","",""
"93050","1","6","Seung Gal","eVOX",KOR,"2304.711","5.497","25934.3","0","0",Bot,"Bot6505","1284","Gold 3","1312","Platinum 1","","","",""
"93050","1","7","Stan Richard","",USA,"2304.95","5.736","25934.3","0","0",Bot,"Bot1681","1245","Gold 3","1276","Gold 3","","","",""
"93050","1","8","Joseph Stein","",AUT,"2304.975","5.761","25934.3","0","0",Bot,"Bot3359","1303","Platinum 1","1328","Platinum 1","","","",""
"93050","1","9","Kentaro Gotō","",JPN,"2305.225","6.011","25934.3","0","0",Bot,"Bot2947","1186","Gold 2","1196","Gold 2","","","",""
"93050","1","10","Burim Marku","",ALB,"2306.225","7.01","25934.3","0","0",Bot,"Bot444","1146","Gold 2","1135","Gold 2","","","",""
"93050","1","11","Lionel Martel","",CAN,"2306.706","7.492","25934.3","0","0",Bot,"Bot2357","1305","Platinum 1","1318","Platinum 1","","","",""
"93050","1","12","Curt McCullough","Heat",AUS,"2306.968","7.754","25934.3","0","0",Bot,"Bot1707","1176","Gold 2","1191","Gold 2","","","",""
"93050","1","13","Yosyp Makarenko","Nuvio",UKR,"2307.215","8.001","25934.3","0","0",Bot,"Bot5406","1086","Gold 1","1093","Gold 1","","","",""
"93050","1","14","Timur Barat","eVOX",KAZ,"2338.706","39.492","25934.3","0","0",Bot,"Bot205","1144","Gold 2","1148","Gold 2","","","",""
"93050","1","15","Milan Hodžić","",BIH,"2338.74","39.526","25934.3","0","0",Bot,"Bot298","1218","Gold 3","1232","Gold 3","","","",""
"93050","1","16","Thomas Macleod","HCOM",SCO,"2349.716","50.502","25934.3","0","0",Bot,"Bot7101","1176","Gold 2","1187","Gold 2","","","",""
"93050","1","17","Gerry Dupuis","",CAN,"2373.489","74.275","25934.3","0","0",Bot,"Bot6755","1156","Gold 2","1181","Gold 2","","","",""
"93050","1","18","Kristaps Rudzītis","",LAT,"2373.717","74.503","25934.3","0","0",Bot,"Bot243","1232","Gold 3","1235","Gold 3","","","",""
