OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"94637","1","1","Forrest Beck","",AUS,"3345.569","0","37510.628","0","0",Bot,"Bot8843","1310","Platinum 1","1358","Platinum 1","","","",""
"94637","1","2","Guillermo Santamaria","",ESP,"3351.748","6.179","37510.628","0","0",Bot,"Bot1485","1191","Gold 2","1196","Gold 2","","","",""
"94637","1","3","Sammy Griffin","",GBR,"3352.629","7.06","37510.628","0","0",Bot,"Bot686","1229","Gold 3","1260","Gold 3","","","",""
"94637","1","4","Neal Marshall","",AUS,"3352.893","7.324","37510.628","0","0",Bot,"Bot1059","1141","Gold 2","1155","Gold 2","","","",""
"94637","1","5","Ryan Yates","Allkin Racing",USA,"3368.552","22.983","37510.628","0","0",Male,"2FDBB5DD4345DCB5","1267","Gold 3","1297","Gold 3","40-44","","",""
"94637","1","6","Tomas Mendez","",ESP,"3371.254","25.685","37510.628","0","0",Bot,"Bot8990","1152","Gold 2","1162","Gold 2","","","",""
"94637","1","7","Thierno Sylla","",GUI,"3371.371","25.802","37510.628","0","0",Bot,"Bot9360","1197","Gold 2","1203","Gold 3","","","",""
"94637","1","8","Thomas Macleod","HCOM",SCO,"3371.517","25.948","37510.628","0","0",Bot,"Bot7101","1173","Gold 2","1183","Gold 2","","","",""
"94637","1","9","Eduardo Gallego","Windsail",ESP,"3371.747","26.178","37510.628","0","0",Bot,"Bot7823","1087","Gold 1","1095","Gold 1","","","",""
"94637","1","10","Remo Spina","AI Thunder",ITA,"3397.35","51.781","37510.628","0","0",Bot,"Bot3400","1321","Platinum 1","1292","Gold 3","","","",""
"94637","1","11","Arjan Huisman","Hector",NED,"3423.299","77.73","37510.628","0","0",Bot,"Bot9726","1170","Gold 2","1181","Gold 2","","","",""
"94637","1","12","Deo Nsengiyumva","HCOM",BDI,"3423.496","77.927","37510.628","0","0",Bot,"Bot9901","1274","Gold 3","1265","Gold 3","","","",""
"94637","1","13","Tun Win","",MYA,"3423.53","77.961","37510.628","0","0",Bot,"Bot3159","1122","Gold 2","1145","Gold 2","","","",""
"94637","1","14","Kyaw Min","",MYA,"3423.694","78.125","37510.628","0","0",Bot,"Bot6745","1074","Gold 1","1092","Gold 1","","","",""
"94637","1","15","Emerson Beck","Capital",USA,"3449.248","103.679","37510.628","0","0",Bot,"Bot4624","1145","Gold 2","1139","Gold 2","","","",""
"94637","1","16","Reinhold Schmitz","",GER,"3501.821","156.252","37510.628","0","0",Bot,"Bot3147","1096","Gold 1","1099","Gold 1","","","",""
"94637","1","17","Julie Morin","Saint",FRA,"3502.083","156.514","37510.628","0","0",Bot,"Bot4532","1106","Gold 2","1110","Gold 2","","","",""
"94637","1","18","Victor Garcia","Orbit",FRA,"3517.74","172.171","37510.628","0","0",Bot,"Bot5903","1081","Gold 1","1102","Gold 2","","","",""
"94637","1","19","Malong Thon","Eckleson",SSD,"3517.987","172.418","37510.628","0","0",Bot,"Bot5727","1117","Gold 2","1110","Gold 2","","","",""
"94637","1","20","Josiah Sherman","",USA,"3518.237","172.668","37510.628","0","0",Bot,"Bot8672","1111","Gold 2","1127","Gold 2","","","",""
"94637","1","21","Jonathan Berger","Optech",SUI,"3539.222","193.653","37510.628","0","0",Bot,"Bot6618","1130","Gold 2","1142","Gold 2","","","",""
"94637","1","22","Ciprian Badea","",ROU,"3539.596","194.027","37510.628","0","0",Bot,"Bot7252","1096","Gold 1","1110","Gold 2","","","",""
"94637","1","23","Gerald Allard","Kumori",CAN,"3539.692","194.123","37510.628","0","0",Bot,"Bot8840","1137","Gold 2","1149","Gold 2","","","",""
"94637","1","24","Dongsun Mi","",KOR,"3539.879","194.31","37510.628","0","0",Bot,"Bot5394","1121","Gold 2","1124","Gold 2","","","",""
"94637","1","25","Keven Krause","Aguda",GER,"3540.109","194.54","37510.628","0","0",Bot,"Bot5833","1198","Gold 2","1141","Gold 2","","","",""
"94637","1","26","Otso Lappalainen","",FIN,"3540.534","194.965","37510.628","0","0",Bot,"Bot5266","1192","Gold 2","1151","Gold 2","","","",""
"94637","1","27","Zalan Kocsis","",HUN,"3540.553","194.984","37510.628","0","0",Bot,"Bot9852","1086","Gold 1","1099","Gold 1","","","",""
"94637","1","28","Adam De","",BEL,"3585.741","240.172","37510.628","0","0",Bot,"Bot3075","1128","Gold 2","1146","Gold 2","","","",""
"94637","1","29","Ousmane Keita","",MLI,"3592.753","247.184","37510.628","0","0",Bot,"Bot1643","1157","Gold 2","1112","Gold 2","","","",""
