OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"92899","4","1","Julien Helleputte","",BEL,"3370.455","0","36521.41","0","0",Male,"5F2EDC06F34578B8","100","Bronze 1","286","Bronze 1","35-39","","",""
"92899","4","2","Saeed Mahmood","",UAE,"3393.233","22.778","36521.41","0","0",Bot,"Bot3158","553","Bronze 2","573","Bronze 2","","","",""
"92899","4","3","Tabea Kruse","Titans",GER,"3393.995","23.539","36521.41","0","0",Bot,"Bot2530","599","Bronze 2","605","Bronze 3","","","",""
"92899","4","4","Maximilian Martens","Nuvio",BEL,"3394.226","23.77","36521.41","0","0",Bot,"Bot1506","563","Bronze 2","591","Bronze 2","","","",""
"92899","4","5","Gilbert Meyer","",FRA,"3410.456","40","36521.41","0","0",Bot,"Bot82","607","Bronze 3","600","Bronze 3","","","",""
"92899","4","6","Emy Faber","",LUX,"3410.967","40.511","36521.41","0","0",Bot,"Bot5799","604","Bronze 3","599","Bronze 2","","","",""
"92899","4","7","Thomas Schulte","",GER,"3421.74","51.284","36521.41","0","0",Bot,"Bot5791","533","Bronze 2","556","Bronze 2","","","",""
"92899","4","8","Jan Van Vliet","",NED,"3421.985","51.529","36521.41","0","0",Bot,"Bot9285","449","Bronze 1","452","Bronze 1","","","",""
"92899","4","9","Betsan Matthews","",WAL,"3430.969","60.513","36521.41","0","0",Bot,"Bot5477","607","Bronze 3","607","Bronze 3","","","",""
"92899","4","10","Bitna Seok","AI Thunder",KOR,"3432.47","62.015","36521.41","0","0",Bot,"Bot5400","555","Bronze 2","555","Bronze 2","","","",""
"92899","4","11","Borysko Babich","Saint",UKR,"3448.463","78.008","36521.41","0","0",Bot,"Bot5032","606","Bronze 3","607","Bronze 3","","","",""
"92899","4","12","Christine Hall","",BAH,"3467.973","97.517","36521.41","0","0",Bot,"Bot4175","602","Bronze 3","599","Bronze 2","","","",""
"92899","4","13","Lottie Wilkinson","Douvan",GBR,"3471.726","101.27","36521.41","0","0",Bot,"Bot8836","598","Bronze 2","601","Bronze 3","","","",""
"92899","4","14","Aleksandra Kalinowska","",POL,"3472.466","102.01","36521.41","0","0",Bot,"Bot6475","579","Bronze 2","573","Bronze 2","","","",""
"92899","4","15","Aarni Kauppinen","",FIN,"3478.236","107.78","36521.41","0","0",Bot,"Bot1890","603","Bronze 3","599","Bronze 2","","","",""
"92899","4","16","Charlotte Ludvigsen","",DEN,"3480.461","110.006","36521.41","0","0",Bot,"Bot2641","521","Bronze 2","523","Bronze 2","","","",""
"92899","4","17","Alice Olofsson","",SWE,"3482.205","111.749","36521.41","0","0",Bot,"Bot1581","471","Bronze 1","473","Bronze 1","","","",""
"92899","4","18","Raed Ahamed","",UAE,"3484.746","114.291","36521.41","0","0",Bot,"Bot9369","576","Bronze 2","566","Bronze 2","","","",""
"92899","4","19","Veronika Moskalenko","Kumori",UKR,"3485.747","115.291","36521.41","0","0",Bot,"Bot740","509","Bronze 2","522","Bronze 2","","","",""
"92899","4","20","Eve Maher","",IRL,"3487.72","117.265","36521.41","0","0",Bot,"Bot4254","620","Bronze 3","614","Bronze 3","","","",""
"92899","4","21","Mía Romero","Nuvio",ARG,"3488.236","117.78","36521.41","0","0",Bot,"Bot5706","496","Bronze 1","492","Bronze 1","","","",""
"92899","4","22","Isabella Sorrentino","",ITA,"3488.454","117.999","36521.41","0","0",Bot,"Bot8560","511","Bronze 2","500","Bronze 2","","","",""
"92899","4","23","Monica Søgaard","",DEN,"3489.491","119.036","36521.41","0","0",Bot,"Bot5459","439","Bronze 1","451","Bronze 1","","","",""
"92899","4","24","Britt Sæter","Nuvio",NOR,"3489.991","119.536","36521.41","0","0",Bot,"Bot2406","497","Bronze 1","509","Bronze 2","","","",""
