OVERALL INDIVIDUAL RESULTS:

EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
"95270","2","1","Wim Dijkstra","",NED,"2290.848","0","27257.009","0","0",Bot,"Bot3490","1118","Gold 2","1144","Gold 2","","","",""
"95270","2","2","Viljami Heikkilä","Sherpa",FIN,"2301.751","10.903","27257.009","0","0",Bot,"Bot6120","960","Silver 3","986","Silver 3","","","",""
"95270","2","3","Nasser Pillai","",UAE,"2307.691","16.842","27257.009","0","0",Bot,"Bot3173","1067","Gold 1","1071","Gold 1","","","",""
"95270","2","4","Julien Helleputte","Riders Givrés du Trainer",BEL,"2307.813","16.964","27257.009","0","0",Male,"5F2EDC06F34578B8","300","Bronze 1","981","Silver 3","35-39","","",""
"95270","2","5","Linus Langer","",SUI,"2308.225","17.377","27257.009","0","0",Bot,"Bot1084","1023","Gold 1","1033","Gold 1","","","",""
"95270","2","6","Habib Alam","",UAE,"2311.31","20.462","27257.009","0","0",Bot,"Bot2794","1168","Gold 2","1162","Gold 2","","","",""
"95270","2","7","Michael Srensen","",DEN,"2313.594","22.746","27257.009","0","0",Bot,"Bot5445","914","Silver 3","939","Silver 3","","","",""
"95270","2","8","Philipp Marxer","Saitama",LIE,"2314.365","23.516","27257.009","0","0",Bot,"Bot2434","802","Silver 2","821","Silver 2","","","",""
"95270","2","9","Kaique Correia","",BRA,"2320.291","29.443","27257.009","0","0",Bot,"Bot2087","1211","Gold 3","1162","Gold 2","","","",""
"95270","2","10","Faro Guidi","",ITA,"2332.194","41.345","27257.009","0","0",Bot,"Bot6385","1046","Gold 1","1054","Gold 1","","","",""
"95270","2","11","Kenzo Ichikawa","Titans",JPN,"2336.317","45.469","27257.009","0","0",Bot,"Bot5230","1002","Gold 1","955","Silver 3","","","",""
"95270","2","12","Attila Vida","HCOM",HUN,"2336.567","45.719","27257.009","0","0",Bot,"Bot401","865","Silver 2","866","Silver 2","","","",""
"95270","2","13","Heiko Schmid","Windsail",GER,"2339.249","48.4","27257.009","0","0",Bot,"Bot6123","958","Silver 3","949","Silver 3","","","",""
"95270","2","14","Kaj Laugesen","Orbit",DEN,"2340.462","49.614","27257.009","0","0",Bot,"Bot203","914","Silver 3","947","Silver 3","","","",""
"95270","2","15","Edwardo Hobbs","eVOX",AUS,"2341.692","50.843","27257.009","0","0",Bot,"Bot405","799","Silver 1","824","Silver 2","","","",""
"95270","2","16","Ludovic Ceccarelli","Ampex",ITA,"2341.882","51.034","27257.009","0","0",Bot,"Bot114","866","Silver 2","880","Silver 2","","","",""
"95270","2","17","Herman Hoffman","True Form",USA,"2343.056","52.207","27257.009","0","0",Bot,"Bot6815","971","Silver 3","957","Silver 3","","","",""
"95270","2","18","Ulyana Miroshnichenko","Saint",UKR,"2343.2","52.352","27257.009","0","0",Bot,"Bot8632","919","Silver 3","920","Silver 3","","","",""
"95270","2","19","Giovanni Ferrari","",ITA,"2343.645","52.796","27257.009","0","0",Bot,"Bot3950","845","Silver 2","862","Silver 2","","","",""
"95270","2","20","Joey Robinson","",RSA,"2343.673","52.825","27257.009","0","0",Bot,"Bot5553","830","Silver 2","856","Silver 2","","","",""
"95270","2","21","Brandon Harrison","eVOX",CAN,"2343.875","53.026","27257.009","0","0",Bot,"Bot4705","1068","Gold 1","1036","Gold 1","","","",""
"95270","2","22","Lina Martens","",BEL,"2344.114","53.266","27257.009","0","0",Bot,"Bot4190","904","Silver 3","907","Silver 3","","","",""
"95270","2","23","Nitai Levy","",ISR,"2344.367","53.518","27257.009","0","0",Bot,"Bot5157","857","Silver 2","857","Silver 2","","","",""
"95270","2","24","Jiyoon Yu","",KOR,"2344.565","53.717","27257.009","0","0",Bot,"Bot4365","811","Silver 2","808","Silver 2","","","",""
"95270","2","25","Bart Vermeulen","",NED,"2350.475","59.626","27257.009","0","0",Bot,"Bot7997","1138","Gold 2","1127","Gold 2","","","",""
"95270","2","26","Minho Ryu","Delta",KOR,"2356.214","65.365","27257.009","0","0",Bot,"Bot1921","1042","Gold 1","1019","Gold 1","","","",""
"95270","2","27","Lorenzo Roldan","",ARG,"2356.483","65.635","27257.009","0","0",Bot,"Bot5561","931","Silver 3","916","Silver 3","","","",""
"95270","2","28","Nathan Mota","",BRA,"2361.652","70.803","27257.009","0","0",Bot,"Bot9869","833","Silver 2","812","Silver 2","","","",""
"95270","2","29","Nadirah Nasir","",MAS,"2363.533","72.684","27257.009","0","0",Bot,"Bot4159","821","Silver 2","823","Silver 2","","","",""
"95270","2","30","Jerrod Welch","Base",RSA,"2363.87","73.021","27257.009","0","0",Bot,"Bot1825","863","Silver 2","847","Silver 2","","","",""
"95270","2","31","Sofia Calleja","",MLT,"2363.93","73.081","27257.009","0","0",Bot,"Bot5566","804","Silver 2","808","Silver 2","","","",""
"95270","2","32","Sarah Lacroix","",FRA,"2364.072","73.223","27257.009","0","0",Bot,"Bot2680","787","Silver 1","789","Silver 1","","","",""
"95270","2","33","Urho Järvinen","Systech",FIN,"2388.189","97.341","27257.009","0","0",Bot,"Bot8704","850","Silver 2","833","Silver 2","","","",""
"95270","2","34","Kate Collins","",AUS,"2407.82","116.972","27257.009","0","0",Bot,"Bot9757","944","Silver 3","918","Silver 3","","","",""
"95270","2","35","Jimin Paeng","Roklit",KOR,"2430.958","140.109","27257.009","0","0",Bot,"Bot9812","784","Silver 1","784","Silver 1","","","",""
"95270","2","36","Alea Berger","",SUI,"2431.143","140.294","27257.009","0","0",Bot,"Bot346","818","Silver 2","816","Silver 2","","","",""
"95270","2","37","Gilles Langlois","Delta",CAN,"2464.097","173.248","27257.009","0","0",Bot,"Bot5721","777","Silver 1","787","Silver 1","","","",""
"95270","2","38","Claudia D'Agostino","Dashix",ITA,"2464.256","173.407","27257.009","0","0",Bot,"Bot8511","808","Silver 2","788","Silver 1","","","",""
